"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1968647197328633930","Thu Sep 18 12:04:05 +0000 2025","0","Apakah ini kebetulan?? Soalnya pemberhentian itu datang setelah demo rusuh+penjarahan kemarin. Dan demo rusuh sepertinya memang bukan demo biasa ada penumpang gelap yg ingn negara chaos. Dan bisa aja PRABOWO IN PDIP OUT bukan sekadar reshuffle biasa. #Bersih2AnasirMerah","1968647210226077834","","Juna99Ind","in","","0","1","0","https://x.com/undefined/status/1968647210226077834","1731874690610958336",
"1968647164227186814","Thu Sep 18 12:03:58 +0000 2025","0","Timingnya persis abis demo ricuh + penjarahan. Too close to ignore. PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968647180589125999","","loro_karo","in","","0","1","0","https://x.com/undefined/status/1968647180589125999","1941344220834562048",
"1968647147512840551","Thu Sep 18 12:03:56 +0000 2025","0","Lanjut Budi Gunawan juga out. Pas banget abis demo ricuh + penjarahan. Publik: hmm ini kebetulan atau lagi ada event clearance sale pejabat? PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968647175463711080","","minahh388","in","","0","1","0","https://x.com/undefined/status/1968647175463711080","1942941257845923840",
"1968647161354064075","Thu Sep 18 12:03:56 +0000 2025","0","Pasca demo rusuh &amp; penjarahan tiba-tiba reshuffle begini. Publik mulai ngehubungin: ada hubungannya gak ya? PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968647172846493803","","oxcok","in","","0","1","0","https://x.com/undefined/status/1968647172846493803","102242730",
"1968647133487047142","Thu Sep 18 12:03:51 +0000 2025","0","Sebelum itu demo rusuh pecah. Penjarahan merajalela. Publik nyeletuk: Kok baunya kayak cat merah yang baru tumpah? PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968647150503338427","","Nt3G0","in","","0","1","0","https://x.com/undefined/status/1968647150503338427","1934840416685445123",
"1968647134128800001","Thu Sep 18 12:03:49 +0000 2025","0","Publik nginget juga demo rusuh yang disertai penjarahan beberapa waktu lalu abis itu ada pergantian di Hendrar Prihadi dan Budi Gunawan PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968647145658937634","","YankeePaul71","in","","0","1","0","https://x.com/undefined/status/1968647145658937634","1438673521756938248",
"1968647121717862568","Thu Sep 18 12:03:49 +0000 2025","0","Kerusuhan + penjarahan yg bikin kota panas langsung jadi bahan tebak-tebakan. PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968647142114811979","","loro_karo","in","","0","1","0","https://x.com/undefined/status/1968647142114811979","1941344220834562048",
"1968647122909032721","Thu Sep 18 12:03:47 +0000 2025","0","Bersamaan dengan itu pasca demo rusuh dan penjarahan Hendrar Prihadi tiba-tiba dicopot. Timingnya bikin publik makin curiga: apakah ada pesan di balik langkah itu? PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968647133696852360","","delinnnna","in","","0","1","0","https://x.com/undefined/status/1968647133696852360","1903592901151764480",
"1968647111529972023","Thu Sep 18 12:03:43 +0000 2025","0","Trus abis itu Hendrar Prihadi dicopot Budi Gunawan juga ga lolos reshuffle. Kok pasca demo rusuh + penjarahan gitu loh waktunya. Kebetulan? Atau gimana nih. PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968647120832905590","","leluwemende","in","","0","1","0","https://x.com/undefined/status/1968647120832905590","1888623934901563392",
"1968647106886865248","Thu Sep 18 12:03:43 +0000 2025","0","Demo itu sampe ada penjarahan. Abis itu pejabat yg deket partai tertentu diganti. Publik makin mikir ada hubungannya ga ya? PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968647119113269376","","Rhereee10","in","","0","1","0","https://x.com/undefined/status/1968647119113269376","1947435206618877952",
"1968647102608621927","Thu Sep 18 12:03:41 +0000 2025","0","Penjarahan di demo kemarin jadi titik balik. Rakyat mulai sadar ada pola lama yg terus diulang. Bedanya skrg ada jawaban: PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968647109663420864","","siolleeee","in","","0","1","0","https://x.com/undefined/status/1968647109663420864","187790975",
"1968647096468164880","Thu Sep 18 12:03:41 +0000 2025","0","Apalagi demo kemarin ga cuma rame tapi sampai ada penjarahan. Setelah itu justru pejabat yg dikenal dekat dengan partai tertentu digeser. Publik pun makin penasaran kebetulan atau memang ada hubungannya? PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968647109067850158","","Rhereee10","in","","0","1","0","https://x.com/undefined/status/1968647109067850158","1947435206618877952",
"1968647064251781521","Thu Sep 18 12:03:36 +0000 2025","0","Budi Gunawan juga ikut tersapu. Dan waktunya berbarengan dengan demo rusuh + penjarahan. Publik sulit untuk tidak mengaitkan momentum ini. PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968647087962136625","","minahh388","in","","0","1","0","https://x.com/undefined/status/1968647087962136625","1942941257845923840",
"1968647067032490260","Thu Sep 18 12:03:33 +0000 2025","0","Sementara itu Hendrar Prihadi tiba-tiba dicopot. Banyak yang mikir apa timingnya kebetulan banget sama demo rusuh + penjarahan? PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968647074997477462","","Bongkar_Politik","in","","0","1","0","https://x.com/undefined/status/1968647074997477462","1649655109444571142",
"1968647057251406206","Thu Sep 18 12:03:32 +0000 2025","0","Demo yang harusnya damai malah jadi chaos plus penjarahan. Publik mikir ini beneran aksi organik atau ada agenda tersembunyi? PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968647071021375534","","ardinat4_","in","","0","1","0","https://x.com/undefined/status/1968647071021375534","1664162559510077442",
"1968647046593732979","Thu Sep 18 12:03:28 +0000 2025","0","Pasca demo rusuh + penjarahan nama Hendi &amp; Budi Gunawan out. Kok timing-nya begitu ya? Banyak netizen mulai nanya ini by accident atau emang udah skenario? PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968647056760701410","","KimWooLee_","in","","0","1","0","https://x.com/undefined/status/1968647056760701410","1940211516986597376",
"1968647020488327384","Thu Sep 18 12:03:24 +0000 2025","0","Publik langsung mikir: kok pas banget abis rusuh + penjarahan? PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968647039048180211","","Farasha_arr","in","","0","1","0","https://x.com/undefined/status/1968647039048180211","1942617246603608064",
"1968647032467300765","Thu Sep 18 12:03:23 +0000 2025","1","Publik makin rame bahas: kok yang dicopot rata-rata figur deket PDIP ya? Apalagi momen ini muncul setelah demo rusuh + penjarahan kemarin PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968647035839496649","","oxcok","in","","0","1","1","https://x.com/undefined/status/1968647035839496649","102242730",
"1968647013324480675","Thu Sep 18 12:03:20 +0000 2025","0","Kerusuhan plus penjarahan jelas ninggalin tanda tanya besar. Arah reshuffle seakan jawabannya: PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968647024510644599","","duniatri1","in","","0","1","0","https://x.com/undefined/status/1968647024510644599","1503859198710353921",
"1968647005950931266","Thu Sep 18 12:03:19 +0000 2025","0","Terus ada nama Hendrar Prihadi dicopot. Publik langsung flashback: demo rusuh + penjarahan kemarin. Kok nyambung? PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968647019611762869","","Soo_Lee_Heen","in","","0","1","0","https://x.com/undefined/status/1968647019611762869","1918988318139908096",
"1968646999449780394","Thu Sep 18 12:03:18 +0000 2025","0","Demo rusuh yg kemarin keliatan beda bkn sekedar protes tp ada penjarahan. PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968647015803257057","","siolleeee","in","","0","1","0","https://x.com/undefined/status/1968647015803257057","187790975",
"1968647005950931266","Thu Sep 18 12:03:18 +0000 2025","0","Terus ada nama Hendrar Prihadi dicopot. Publik langsung flashback: demo rusuh + penjarahan kemarin. Kok nyambung? PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968647015195197925","","Soo_Lee_Heen","in","","0","1","0","https://x.com/undefined/status/1968647015195197925","1918988318139908096",
"1968646999449780394","Thu Sep 18 12:03:16 +0000 2025","0","Yang menarik Hendrar Prihadi diberhentikan pasca demo ricuh yg anehnya disertai penjarahan. Publik mulai berspekulasi apakah ini bagian dr pola lama tp arah politik jelas PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968647006923973007","","siolleeee","in","","0","1","0","https://x.com/undefined/status/1968647006923973007","187790975",
"1968646999164461126","Thu Sep 18 12:03:16 +0000 2025","0","Di sisi lain reshuffle ini terjadi pasca demo yang ricuh dan diwarnai penjarahan. Situasi yang tidak biasa. Lalu hanya dalam hitungan hari dua nama dicopot dari jabatan strategis. Kebetulan waktu? PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968647006768779343","","sowakpindo","in","","0","1","0","https://x.com/undefined/status/1968647006768779343","1793632510443970562",
"1968646997054824513","Thu Sep 18 12:03:16 +0000 2025","0","Meanwhile demo kemarin chaos banget. Penjarahan di mana-mana bikin vibes makin dark. PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968647004273176731","","seruanhat1ku","in","","0","1","0","https://x.com/undefined/status/1968647004273176731","1917774419105390592",
"1968646995775520880","Thu Sep 18 12:03:15 +0000 2025","0","Terus tiba-tiba sehari setelah demo ricuh dan penjarahan Hendrar Prihadi sama BG malah diberhentikan. Kok nyambung banget ya momennya? PRABOWO IN PDIP OUT #Bersih2AnasirMerah","1968647002217972001","","gimesevn","in","","0","1","0","https://x.com/undefined/status/1968647002217972001","1923409130645303296",
